participant_id,age,employment,ethnicity,gender,language,language2,level_of_education,location,group_id,work,area_of_work,discipline,agreeableness,conscientiousness,extraversion,neuroticism,openness,perceived_creativity,time_perception,number_perception,effort,role,relationship_importance,feedback_importance
i34298,27,Unemployed (and job seeking),Chinese / Chinese British,Female,Yes,,Graduate degree (MA/MSc/MPhil/other),Asia,34293,4,Engineering and manufacturing,Business and management,3.25,3.25,2.0,2.5,3.75,3.0,2.0,4.0,40%-60%,Generating and evaluating ideas,4.0,4.0
i34300,27,Unemployed (and job seeking),"Black / Black British - Caribbean, African, other",Female,Yes,,Graduate degree (MA/MSc/MPhil/other),Africa,34293,3,Other,Law,5.0,4.0,2.75,3.25,3.5,3.0,5.0,5.0,80%-100%,Keeping notes,5.0,5.0
i34297,32,Prefer not to say,Chinese / Chinese British,Male,No but I speak it fluently,Bahasa Indonesia,Graduate degree (MA/MSc/MPhil/other),Asia,34293,8,Other,Business and management,4.5,3.75,1.5,4.0,4.25,3.0,4.0,4.0,40%-60%,Moderating the discussion,4.0,4.0
i34383,29,Self-employed,Chinese / Chinese British,Female,No but I speak it fluently,Cantonese,Graduate degree (MA/MSc/MPhil/other),Asia,34382,6,"Business, consulting and management",Business and management,2.75,2.5,4.75,2.25,5.0,3.0,2.0,4.0,60%-80%,Generating ideas,4.0,4.0
i34386,36,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Male,No,Hindi,Graduate degree (MA/MSc/MPhil/other),Asia,34382,13,Energy and utilities,Business and management,3.25,4.5,2.25,2.25,4.5,3.0,3.0,4.0,60%-80%,Generating and evaluating ideas,4.0,4.0
i34387,27,Full-time employed,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,No,Hindi,Graduate degree (MA/MSc/MPhil/other),Asia,34382,5,"Business, consulting and management",Business and management,3.25,3.5,3.25,2.5,4.0,3.0,4.0,4.0,60%-80%,Keeping notes,5.0,4.0
i35221,23,Not in paid work - student,Chinese / Chinese British,Male,Yes,,Undergraduate degree (BA/BSc/other),Asia,35217,0,0,Public policy,3.75,4.0,3.0,2.0,3.75,2.0,2.0,1.0,40%-60%,Generating ideas,4.0,4.0
i35222,22,Not in paid work - student,Prefer not to say,Female,No but I speak it fluently,Cantonese,Undergraduate degree (BA/BSc/other),Asia,35217,0,0,Medicine and health,3.0,3.75,1.25,3.75,2.5,3.0,3.0,3.0,20%-40%,Generating and evaluating ideas,4.0,4.0
i35223,22,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Male,Yes,,Graduate degree (MA/MSc/MPhil/other),Asia,35217,0,Engineering and manufacturing,Physics,3.25,3.75,3.25,1.75,4.5,3.0,4.0,5.0,80%-100%,Generating and evaluating ideas,4.0,4.0
i35225,22,Not in paid work - student,"White - British, Irish, other",Male,No,Polish,Undergraduate degree (BA/BSc/other),Europe,35217,0,0,Economics,2.75,3.25,2.75,1.75,2.0,2.0,2.0,4.0,40%-60%,Evaluating ideas,4.0,4.0
i35224,21,Not in paid work - student,"White - British, Irish, other",Female,Yes,,Undergraduate degree (BA/BSc/other),Europe,35217,0,0,History,5.0,4.5,3.0,4.0,3.5,2.0,5.0,5.0,80%-100%,Generating ideas,5.0,3.0
i35226,18,Self-employed,"White - British, Irish, other",Other,Yes,,High school diploma/A-levels,Europe,35217,2,"Teacher, training and education",Psychology,5.0,4.0,3.25,3.25,4.5,2.0,2.0,4.0,Below 20%,Generating ideas,2.0,3.0
i35232,22,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Male,Yes,,Graduate degree (MA/MSc/MPhil/other),Asia,35229,0,0,Physics,3.5,3.5,2.0,1.75,4.0,5.0,2.0,5.0,80%-100%,Generating and evaluating ideas,4.0,4.0
i35231,23,Not in paid work - student,Chinese / Chinese British,Male,Yes,,Undergraduate degree (BA/BSc/other),Asia,35229,0,0,Public policy,3.75,4.0,2.5,2.0,3.5,3.0,2.0,1.0,60%-80%,Generating ideas,4.0,4.0
i35233,22,Not in paid work - student,"White - British, Irish, other",Male,No,Polish,Undergraduate degree (BA/BSc/other),Europe,35229,0,0,Economics,3.5,3.5,3.0,1.5,2.0,3.0,1.0,2.0,60%-80%,Generating and evaluating ideas,4.0,3.0
i35768,27,Not in paid work - student,Chinese / Chinese British,Male,No,Mandarin,Doctorate degree (PhD/other),Asia,35764,1,Engineering and manufacturing,Engineering and technology,3.25,5.0,2.75,1.75,2.5,3.0,2.0,2.0,60%-80%,Generating ideas,4.0,4.0
i35770,22,Not in paid work - student,"White - British, Irish, other",Male,Yes,,Undergraduate degree (BA/BSc/other),Europe,35764,0,,Economics,3.25,4.0,1.75,1.25,2.5,4.0,4.0,2.0,20%-40%,Evaluating ideas,4.0,3.0
i35769,21,Not in paid work - student,Chinese / Chinese British,Male,No,Mandarin,Graduate degree (MA/MSc/MPhil/other),Asia,35764,0,"Marketing, advertising and PR",Economics,3.75,3.75,2.0,1.25,4.0,4.0,2.0,3.0,60%-80%,Generating and evaluating ideas,4.0,4.0
i35772,27,Full-time employed,Chinese / Chinese British,Female,Yes,,Graduate degree (MA/MSc/MPhil/other),North America,35764,6,Creative arts and design,Architecture and design,4.0,2.5,3.0,4.0,4.0,3.0,2.0,2.0,40%-60%,Moderating the discussion,4.0,4.0
i35766,56,Full-time employed,"White - British, Irish, other",Female,Yes,,Graduate degree (MA/MSc/MPhil/other),Europe,35764,30,"Teacher, training and education",Geography,3.5,2.0,3.0,3.0,4.5,4.0,2.0,2.0,80%-100%,Generating ideas,4.0,4.0
i35771,28,Not in paid work - student,Chinese / Chinese British,Female,No,Chinese (Cantonese),Graduate degree (MA/MSc/MPhil/other),Asia,35764,1,"Teacher, training and education",Languages and literature,2.0,4.25,1.25,1.5,5.0,5.0,3.0,2.0,60%-80%,Generating and evaluating ideas,4.0,5.0
i36483,23,Full-time employed,"White - British, Irish, other",Female,Yes,,Graduate degree (MA/MSc/MPhil/other),Europe,36474,1,Science and pharmaceuticals,Chemistry,4.5,3.5,4.75,3.75,4.25,4.0,2.0,2.0,60%-80%,Generating and evaluating ideas,4.0,3.0
i36484,33,Unemployed (and job seeking),Mixed race - Other,Female,Yes,,Undergraduate degree (BA/BSc/other),North America,36474,8,Charity and voluntary work,Business and management,4.0,3.0,3.75,3.25,4.5,3.0,4.0,4.0,60%-80%,Generating and evaluating ideas,4.0,2.0
i36482,23,Not in paid work - student,Chinese / Chinese British,Female,No,Chinese,Graduate degree (MA/MSc/MPhil/other),Asia,36474,0,0,Engineering and technology,5.0,4.25,4.0,1.25,4.75,3.0,4.0,4.0,80%-100%,Generating ideas,4.0,5.0
i35279,25,Unemployed (and job seeking),"White - British, Irish, other",Male,Yes,,Graduate degree (MA/MSc/MPhil/other),Europe,35278,3,"Accountancy, banking and finance",Business and management,3.25,4.25,4.75,1.25,4.5,3.0,1.0,2.0,40%-60%,Keeping notes,1.0,5.0
i35280,22,Part-time employed,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Male,No,Urdu,Undergraduate degree (BA/BSc/other),Asia,35278,2,"Business, consulting and management",Business and management,4.0,2.0,1.75,4.25,4.25,4.0,2.0,4.0,40%-60%,Generating and evaluating ideas,4.0,4.0
i35281,24,Part-time employed,"White - British, Irish, other",Female,No,pOLISH,Graduate degree (MA/MSc/MPhil/other),Europe,35278,4,Healthcare,Education,4.75,4.0,4.25,3.75,3.75,3.0,4.0,5.0,60%-80%,Evaluating ideas,4.0,4.0
i34395,28,Unemployed (and job seeking),"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,No,Urdu,Graduate degree (MA/MSc/MPhil/other),Asia,34391,3,"Business, consulting and management",Business and management,3.75,3.5,3.75,1.5,4.0,3.0,4.0,4.0,40%-60%,Generating and evaluating ideas,4.0,4.0
i34392,36,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Male,No,Hindi,Graduate degree (MA/MSc/MPhil/other),Asia,34391,13,Energy and utilities,Business and management,3.5,4.25,2.5,2.5,4.5,4.0,3.0,4.0,60%-80%,Generating and evaluating ideas,4.0,4.0
i34393,32,Not in paid work - student,Other ethnic group,Male,No,Spanish,Graduate degree (MA/MSc/MPhil/other),South America,34391,8,"Accountancy, banking and finance",Economics,4.0,3.75,3.25,2.5,3.5,4.0,2.0,2.0,80%-100%,Generating ideas,4.0,4.0
i34397,37,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,No but I speak it fluently,Chinese,Graduate degree (MA/MSc/MPhil/other),Asia,34391,12,"Business, consulting and management",Business and management,3.75,4.0,3.25,3.5,3.25,2.0,2.0,2.0,60%-80%,Generating and evaluating ideas,4.0,3.0
i34394,28,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Male,No,Hindi,Graduate degree (MA/MSc/MPhil/other),Asia,34391,4,Retail,Architecture and design,3.75,3.75,2.75,4.25,4.5,3.0,2.0,4.0,20%-40%,Keeping notes,5.0,5.0
i34396,28,Not in paid work - student,Other ethnic group,Male,No but I speak it fluently,Spanish,Undergraduate degree (BA/BSc/other),South America,34391,6,"Accountancy, banking and finance",Economics,4.25,4.25,1.5,3.25,4.0,4.0,2.0,2.0,60%-80%,Generating ideas,4.0,4.0
i36123,22,Not in paid work - student,"White - British, Irish, other",Male,Yes,,Undergraduate degree (BA/BSc/other),Europe,36119,0,0,Medicine and health,4.0,1.75,2.5,3.25,5.0,4.0,4.0,2.0,40%-60%,Generating and evaluating ideas,5.0,4.0
i36125,28,Not in paid work - student,Chinese / Chinese British,Male,No,Cantonese,Graduate degree (MA/MSc/MPhil/other),Asia,36119,3,"Teacher, training and education",Linguistics,4.5,2.25,4.5,3.75,4.75,4.0,1.0,2.0,60%-80%,Generating and evaluating ideas,4.0,4.0
i36122,27,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Male,No but I speak it fluently,Thai,Undergraduate degree (BA/BSc/other),Asia,36119,5,0,Engineering and technology,3.5,4.0,2.75,3.5,1.75,3.0,1.0,1.0,40%-60%,Keeping notes,1.0,1.0
i36121,27,Not in paid work - student,"White - British, Irish, other",Male,No,German,Undergraduate degree (BA/BSc/other),Europe,36119,0,0,Computer science,3.25,4.25,3.25,1.5,3.75,3.0,2.0,4.0,40%-60%,Generating and evaluating ideas,3.0,4.0
i36126,28,Not in paid work - student,"White - British, Irish, other",Female,No but I speak it fluently,Italian,Graduate degree (MA/MSc/MPhil/other),Europe,36119,0,"Teacher, training and education",Archaeology,4.75,2.75,4.0,3.5,3.75,3.0,1.0,1.0,80%-100%,Generating and evaluating ideas,5.0,5.0
i36124,30,Not in paid work - student,Mixed race - Other,Female,No but I speak it fluently,Spanish,Undergraduate degree (BA/BSc/other),South America,36119,7,Other,Psychology,4.75,3.5,1.75,2.5,3.5,2.0,4.0,4.0,40%-60%,Generating ideas,3.0,3.0
i36453,22,Not in paid work - student,Chinese / Chinese British,Male,No,Cantonese,Undergraduate degree (BA/BSc/other),Asia,36441,0,0,Earth science,3.5,2.25,1.5,1.0,4.5,2.0,2.0,4.0,20%-40%,Generating and evaluating ideas,4.0,4.0
i36454,50,Self-employed,Chinese / Chinese British,Male,No but I speak it fluently,Chinese,Graduate degree (MA/MSc/MPhil/other),Asia,36441,22,Engineering and manufacturing,Engineering and technology,4.0,3.5,3.0,2.5,3.75,3.0,4.0,3.0,60%-80%,Generating and evaluating ideas,3.0,3.0
i36455,37,Not in paid work - student,"Black / Black British - Caribbean, African, other",Female,Yes,,Undergraduate degree (BA/BSc/other),Africa,36441,5,0,Medicine and health,5.0,5.0,2.25,1.5,4.75,5.0,4.0,5.0,80%-100%,Generating and evaluating ideas,5.0,4.0
i35933,24,Not in paid work - student,Chinese / Chinese British,Female,No but I speak it fluently,Mandarin Chinese,Graduate degree (MA/MSc/MPhil/other),Europe,35932,1,"Marketing, advertising and PR",Psychology,3.0,3.25,4.5,1.75,4.75,3.0,2.0,5.0,80%-100%,Generating and evaluating ideas,5.0,4.0
i35937,21,Not in paid work - student,"White - British, Irish, other",Female,No,Greek,Undergraduate degree (BA/BSc/other),Europe,35932,10,,Engineering and technology,4.0,3.0,3.5,1.25,4.5,2.0,1.0,4.0,40%-60%,Keeping notes,5.0,4.0
i35935,24,Not in paid work - student,"White - British, Irish, other",Female,No,French,Graduate degree (MA/MSc/MPhil/other),Europe,35932,0,,Other,3.75,2.75,4.75,3.0,4.75,3.0,2.0,5.0,60%-80%,Generating and evaluating ideas,4.0,4.0
i35938,24,Full-time employed,Chinese / Chinese British,Female,No but I speak it fluently,Chinese,Graduate degree (MA/MSc/MPhil/other),Asia,35932,0,"Marketing, advertising and PR",Other,4.5,1.75,4.0,3.5,5.0,5.0,1.0,2.0,40%-60%,Generating ideas,5.0,5.0
i35934,25,Not in paid work - student,Chinese / Chinese British,Female,No but I speak it fluently,Chinese,Doctorate degree (PhD/other),Asia,35932,0,,Economics,3.5,4.75,2.0,1.5,4.25,4.0,2.0,3.0,80%-100%,Generating and evaluating ideas,5.0,4.0
i35936,34,Not in paid work - looking after family or home,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,No but I speak it fluently,Gujarati,Graduate degree (MA/MSc/MPhil/other),Asia,35932,2,,Social work,3.5,3.0,3.5,3.5,3.5,4.0,3.0,2.0,60%-80%,Generating and evaluating ideas,3.0,3.0
i35459,21,Not in paid work - student,"White - British, Irish, other",Female,No but I speak it fluently,French,Undergraduate degree (BA/BSc/other),Europe,35456,0,Energy and utilities,Engineering and technology,2.5,2.25,3.75,3.25,4.25,4.0,2.0,5.0,40%-60%,Generating and evaluating ideas,4.0,4.0
