group_id,task,n_members,start_time,end_time,duration,speaker_id,text
35185,PS4,3,4.64,8.48,3.84,1.0,Is it an equal distribution of academic resources to dismounted and marginalized groups?
35185,PS4,3,42.64,43.96,1.32,1.0,What do you what do you think?
35185,PS4,3,47.8,57.56,9.76,1.0,"I think it's good to like for this one to go on like how you were like inspired to study your topic to begin with, like what means."
35185,PS4,3,66.28,70.12,3.84,2.0,This pretty tough because I think the world leaders haven't found a problem.
35185,PS4,3,70.12,71.76,1.64,2.0,I haven't found a solution for this yet.
35185,PS4,3,71.76,76.8,5.04,2.0,Right to A to a like a good extent.
35185,PS4,3,82.71,86.51,3.8,1.0,"I mean, I mean, like, part of it is mainly something that happens at schools, right?"
35185,PS4,3,86.51,86.71,0.2,1.0,Yeah.
35185,PS4,3,90.79,94.67,3.88,2.0,"I don't know that I'm from Singapore, right?"
35185,PS4,3,94.67,109.12,14.45,2.0,"So the thing about schools is that between different schools, there already be different resources allocated and how you get to these schools is dependent on your grade."
35185,PS4,3,109.12,117.72,8.6,2.0,"When you're in primary school, then you could argue that your grade when your primary school is dependent on how rich you are and your parents are sending more ritual classes."
35185,PS4,3,119.8,123.16,3.36,2.0,"So then I don't know, to me, that's for me to start as young as possible."
35185,PS4,3,125.92,135.92,10.0,2.0,"Just even if you allocate the same more resources to every school, the the the staff will always focus more attention on those that they believe will be the brightest."
35185,PS4,3,136.08,136.88,0.8,1.0,"Yeah, yeah."
35185,PS4,3,140.96,145.92,4.96,2.0,So I think Mantle would would be approached from a like a very young age to.
35185,PS4,3,151.33,165.12,13.79,1.0,"But yeah, this also comes from like from the beginning, like the perspective, like some parents don't think that education is like the most important thing that you could be spending your time on doing, whereas the other parents feel very strongly about this, right?"
35185,PS4,3,167.24,173.6,6.36,1.0,"So if like your parent doesn't care about whether you get homework done when you get back home from school, then that is obviously going to make a really big difference."
35185,PS4,3,176.36,187.16,10.8,1.0,"So maybe it's like giving one idea to be giving children like, space to focus on their academics, like after class."
35185,PS4,3,187.16,189.4,2.24,1.0,"But then again, that's not like the earliest stage, right?"
35185,PS4,3,189.4,193.96,4.56,1.0,"Like that would be maybe for a high school student, not necessarily for someone who's in primary school."
35185,PS4,3,194.0,194.12,0.12,2.0,Right.
35185,PS4,3,194.12,196.16,2.04,2.0,"But I mean, it doesn't have to be the earliest stage."
35185,PS4,3,196.4,196.68,0.28,2.0,It's just.
35185,PS4,3,197.16,197.28,0.12,1.0,Yeah.
35185,PS4,3,235.88,243.24,7.36,3.0,I'm just thinking about how health inequality also affect people and how to go about it.
35185,PS4,3,243.56,253.2,9.64,3.0,And why would you tackle health inequality mostly is one way is the use of artificial intelligence?
35185,PS4,3,254.0,254.92,0.92,1.0,"Yeah, like."
35185,PS4,3,255.8,274.4,18.6,3.0,"As long as we know their disadvantage and marginalized and sometimes maybe because of their socio economic status, but as long as there's an Internet connection, can build apps where they can sit at home and go with their phone and then easy to educate them, yeah."
35185,PS4,3,278.36,278.84,0.48,1.0,Yeah.
